city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
coihaique,75,CL,1551459600,55,-45.58,-72.07,64.4,9.17
lingyuan,0,CN,1551461425,57,41.24,119.4,24.95,6.53
sistranda,75,NO,1551461363,93,63.73,8.83,37.0,20.8
ajaccio,0,FR,1551459600,62,41.93,8.74,60.8,11.41
comodoro rivadavia,40,AR,1551459600,63,-45.87,-67.48,62.6,6.93
jati,76,PK,1551461427,28,24.35,68.27,72.25,9.22
save,48,BJ,1551461427,85,8.04,2.49,80.21,2.62
kenai,1,US,1551460925,77,60.55,-151.26,14.0,3.36
korsakov,8,RU,1551459600,100,46.63,142.78,17.6,4.47
kalininsk,88,RU,1551461428,96,51.5,44.48,31.25,6.98
sabaudia,75,IT,1551461425,66,41.3,13.03,57.2,5.82
syracuse,1,US,1551461305,61,43.05,-76.15,36.0,5.82
san jose,0,PH,1551461165,93,15.79,120.99,62.71,2.06
nizhniy chir,56,RU,1551461431,91,48.36,43.08,32.33,13.24
allahganj,0,IN,1551461431,79,27.55,79.69,52.45,2.84
nador,0,MA,1551459600,34,35.17,-2.93,68.0,14.99
sangar,8,RU,1551461432,29,63.92,127.47,-21.0,1.95
banff,68,CA,1551460143,77,51.18,-115.57,-6.0,5.99
fatezh,90,RU,1551460597,98,52.09,35.86,32.0,13.42
arman,8,RU,1551461433,60,59.7,150.17,0.2,8.43
pindwara,8,IN,1551461433,49,24.79,73.05,55.73,4.18
